gene_callers_id	blastp_acc	blastp_ann	blastp_species	blastp_taxa
9944606	WP_236546080.1	"TonB-dependent receptor plug domain-containing protein [Stenotrophomonas sp. 364]"	"Stenotrophomonas sp. 364"	"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Lysobacteraceae","Stenotrophomonas"
4800034	WP_013306096.1	"TonB-dependent receptor [Maribacter sp. HTCC2170]"	"Maribacter sp. HTCC2170"	"Bacteria","Pseudomonadati","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Maribacter"
5029417	WP_032515864.1	"MULTISPECIES: response regulator transcription factor [Prochlorococcus]"	"Prochlorococcus"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Prochlorococcaceae"
5488169	WP_011365540.1	"urea ABC transporter substrate-binding protein [Synechococcus sp. CC9605]"	"Synechococcus sp. CC9605"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Synechococcaceae","Synechococcus"
10534446	WP_166010599.1	"peptidoglycan-associated lipoprotein Pal [Acinetobacter shaoyimingii]"	"Acinetobacter shaoyimingii"	"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter"
13745715	WP_186490885.1	"50S ribosomal protein L1 [Synechococcus sp. BIOS-U3-1]"	"Synechococcus sp. BIOS-U3-1"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Synechococcaceae","Synechococcus"
13745716	WP_186490887.1	"50S ribosomal protein L11 [Synechococcus sp. BIOS-U3-1]"	"Synechococcus sp. BIOS-U3-1"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Synechococcaceae","Synechococcus"
3325491	WP_066521589.1	"TonB-dependent receptor [Sphingobium cloacae]"	"Sphingobium cloacae"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium"
4800055	WP_223260012.1	"ATP-dependent zinc metalloprotease FtsH [Candidatus Methylopumilus universalis]"	"Candidatus Methylopumilus universalis"	"Bacteria","Pseudomonadati","Pseudomonadota","Betaproteobacteria","Nitrosomonadales","Methylophilaceae","Candidatus Methylopumilus"
5979710	WP_013046259.1	"quaternary amine ABC transporter ATP-binding protein [Candidatus Puniceispirillum marinum]"	"Candidatus Puniceispirillum marinum"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Candidatus Puniceispirillales","Candidatus Puniceispirillaceae","Candidatus Puniceispirillum"
6504001	WP_375593163.1	"ABC transporter substrate-binding protein [Algihabitans albus]"	"Algihabitans albus"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Algihabitans"
10403407	WP_421976668.1	"SusC/RagA family TonB-linked outer membrane protein [Roseivirga seohaensis]"	"Roseivirga seohaensis"	"Bacteria","Pseudomonadati","Bacteroidota","Cytophagia","Cytophagales","Roseivirgaceae","Roseivirga"
6700623	WP_137091350.1	"catalase/peroxidase HPI [Mangrovivirga cuniculi]"	"Mangrovivirga cuniculi"	"Bacteria","Pseudomonadati","Bacteroidota","Cytophagia","Cytophagales","Mangrovivirgaceae","Mangrovivirga"
3292754	WP_009576056.1	"acyl-CoA dehydrogenase family protein [Aequoribacter fuscus]"	"Aequoribacter fuscus"	"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Cellvibrionales","Halieaceae","Aequoribacter"
14106199	WP_145597670.1	"protein translocase subunit SecD [Candidatus Pelagibacter sp. FZCC0015]"	"Candidatus Pelagibacter sp. FZCC0015"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Candidatus Pelagibacterales","Candidatus Pelagibacteraceae","Candidatus Pelagibacter"
15613527	WP_011132966.1	"MULTISPECIES: leucyl aminopeptidase [Prochlorococcus]"	"Prochlorococcus"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Prochlorococcaceae"
999004	WP_072286943.1	"histidine kinase [Syntrophotalea acetylenica]"	"Syntrophotalea acetylenica"	"Bacteria","Pseudomonadati","Thermodesulfobacteriota","Desulfuromonadia","Desulfuromonadales","Syntrophotaleaceae","Syntrophotalea"
11124318	WP_011818177.1	"pyridoxal phosphate-dependent aminotransferase [Prochlorococcus marinus]"	"Prochlorococcus marinus"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Prochlorococcaceae","Prochlorococcus"
14499423	WP_072286712.1	"porin [Syntrophotalea acetylenica]"	"Syntrophotalea acetylenica"	"Bacteria","Pseudomonadati","Thermodesulfobacteriota","Desulfuromonadia","Desulfuromonadales","Syntrophotaleaceae","Syntrophotalea"
6569572	WP_101895512.1	"chaperonin GroEL [Ketobacter alkanivorans]"	"Ketobacter alkanivorans"	"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Ketobacteraceae","Ketobacter"
9256551	WP_415402308.1	"type III glutamate--ammonia ligase [Tateyamaria sp. SN3-11]"	"Tateyamaria sp. SN3-11"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Roseobacteraceae","Tateyamaria"
6340217	WP_023853870.1	"MULTISPECIES: amino acid ABC transporter substrate-binding protein [Candidatus Pelagibacter]"	"Candidatus Pelagibacter"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Candidatus Pelagibacterales","Candidatus Pelagibacteraceae"
11648636	WP_342665656.1	"MULTISPECIES: ribose-5-phosphate isomerase RpiA [Prochlorococcus]"	"Prochlorococcus"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Prochlorococcaceae"
2145919	WP_186586626.1	"AGE family epimerase/isomerase [Synechococcus sp. A15-28]"	"Synechococcus sp. A15-28"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Synechococcaceae","Synechococcus"
2866818	WP_096053544.1	"TonB-dependent receptor [Caulobacter vibrioides]"	"Caulobacter vibrioides"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter"
3325573	WP_265018425.1	"FtsH protease activity modulator HflK [Cognatishimia activa]"	"Cognatishimia activa"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Cognatishimia"
3325574	WP_157708456.1	"protease modulator HflC [Roseovarius faecimaris]"	"Roseovarius faecimaris"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Roseobacteraceae","Roseovarius"
10665606	WP_145444921.1	"chaperonin GroEL [Mucisphaera calidilacus]"	"Mucisphaera calidilacus"	"Bacteria","Pseudomonadati","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","Mucisphaera"
8830605	WP_013046440.1	"catalase/peroxidase HPI [Candidatus Puniceispirillum marinum]"	"Candidatus Puniceispirillum marinum"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Candidatus Puniceispirillales","Candidatus Puniceispirillaceae","Candidatus Puniceispirillum"
10993294	WP_145595986.1	"extracellular solute-binding protein [Candidatus Pelagibacter sp. FZCC0015]"	"Candidatus Pelagibacter sp. FZCC0015"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Candidatus Pelagibacterales","Candidatus Pelagibacteraceae","Candidatus Pelagibacter"
9879187	WP_390911218.1	"ABC transporter substrate-binding protein [Pseudosulfitobacter sp. SM2401]"	"Pseudosulfitobacter sp. SM2401"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Roseobacteraceae","Pseudosulfitobacter"
4275862	WP_011132972.1	"MULTISPECIES: BamA/TamA family outer membrane protein [Prochlorococcus]"	"Prochlorococcus"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Prochlorococcaceae"
3784343	WP_145596043.1	"amino acid ABC transporter substrate-binding protein [Candidatus Pelagibacter sp. FZCC0015]"	"Candidatus Pelagibacter sp. FZCC0015"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Candidatus Pelagibacterales","Candidatus Pelagibacteraceae","Candidatus Pelagibacter"
5095062	WP_109864890.1	"porin [Azospirillum sp. TSH100]"	"Azospirillum sp. TSH100"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Azospirillaceae","Azospirillum"
16301723	WP_280317779.1	"TonB-dependent receptor [Microbulbifer bruguierae]"	"Microbulbifer bruguierae"	"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Cellvibrionales","Microbulbiferaceae","Microbulbifer"
16301732	WP_188599567.1	"50S ribosomal protein L9 [Polaribacter pacificus]"	"Polaribacter pacificus"	"Bacteria","Pseudomonadati","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae"
11419306	WP_413679206.1	"NAD(P)(+) transhydrogenase (Re/Si-specific) subunit beta [Prochlorococcus marinus]"	"Prochlorococcus marinus"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Prochlorococcaceae","Prochlorococcus"
11648682	WP_099340197.1	"type I glutamate--ammonia ligase [Candidatus Fonsibacter ubiquis]"	"Candidatus Fonsibacter ubiquis"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Candidatus Pelagibacterales","Candidatus Pelagibacterales incertae sedis","Candidatus Fonsibacter"
10108588	WP_012843421.1	"SusC/RagA family TonB-linked outer membrane protein [Rhodothermus marinus]"	"Rhodothermus marinus"	"Bacteria","Pseudomonadati","Rhodothermota","Rhodothermia","Rhodothermales","Rhodothermaceae","Rhodothermus"
1654448	WP_013044979.1	"type I glutamate--ammonia ligase [Candidatus Puniceispirillum marinum]"	"Candidatus Puniceispirillum marinum"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Candidatus Puniceispirillales","Candidatus Puniceispirillaceae","Candidatus Puniceispirillum"
3489457	WP_415716599.1	"TRAP transporter substrate-binding protein [Roseibium sp.]"	"Roseibium sp."	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Stappiaceae","Roseibium"
11353779	WP_223076424.1	"DUF4856 domain-containing protein [Mesoflavibacter sp. SCSIO 43206]"	"Mesoflavibacter sp. SCSIO 43206"	"Bacteria","Pseudomonadati","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Mesoflavibacter"
12074676	WP_024269005.1	"ABC transporter substrate-binding protein [Salinispira pacifica]"	"Salinispira pacifica"	"Bacteria","Pseudomonadati","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Salinispira"
8634038	WP_153239779.1	"acyl-CoA dehydrogenase family protein [Halioglobus maricola]"	"Halioglobus maricola"	"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Cellvibrionales","Halieaceae","Halioglobus"
278199	WP_023853992.1	"MULTISPECIES: HU family DNA-binding protein [Candidatus Pelagibacter]"	"Candidatus Pelagibacter"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Candidatus Pelagibacterales","Candidatus Pelagibacteraceae"
8634044	WP_153239782.1	"acyl-CoA dehydrogenase family protein [Halioglobus maricola]"	"Halioglobus maricola"	"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Cellvibrionales","Halieaceae","Halioglobus"
10436285	WP_276121474.1	"GMC family oxidoreductase [Pararhizobium qamdonense]"	"Pararhizobium qamdonense"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Rhizobium/Agrobacterium group","Pararhizobium"
8634047	WP_015430837.1	"enoyl-CoA hydratase-related protein [Paraglaciecola psychrophila]"	"Paraglaciecola psychrophila"	"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Paraglaciecola"
8634051	WP_390615572.1	"sulfatase-like hydrolase/transferase [Maricurvus nonylphenolicus]"	"Maricurvus nonylphenolicus"	"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Maricurvus"704196
11026118	WP_373356080.1	"malate dehydrogenase [Pseudoroseicyclus sp. CXY001]"	"Pseudoroseicyclus sp. CXY001"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Pseudoroseicyclus"
15515336	WP_415320551.1	"bacteriorhodopsin-like [Candidatus Pelagibacter sp. Uisw_092]"	"Candidatus Pelagibacter sp. Uisw_092"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Candidatus Pelagibacterales","Candidatus Pelagibacteraceae","Candidatus Pelagibacter"
12893897	WP_044050606.1	"extracellular solute-binding protein [Planktomarina temperata]"	"Planktomarina temperata"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Planktomarina"
4701898	WP_042850413.1	"magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase [Prochlorococcus sp. MIT 0604]"	"Prochlorococcus sp. MIT 0604"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Prochlorococcaceae","Prochlorococcus"
8273610	WP_252158027.1	"TonB-dependent receptor domain-containing protein [Candidatus Arcticimaribacter forsetii]"	"Candidatus Arcticimaribacter forsetii"	"Bacteria","Pseudomonadati","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Candidatus Arcticimaribacter"
11812556	WP_186989945.1	"MULTISPECIES: preprotein translocase subunit SecA [unclassified Synechococcus]"	"unclassified Synechococcus"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Synechococcaceae","Synechococcus"
6504141	WP_306258468.1	"extracellular solute-binding protein [Pararhizobium sp. IMCC21322]"	"Pararhizobium sp. IMCC21322"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Rhizobium/Agrobacterium group","Pararhizobium"
8634064	WP_251812116.1	"NAD(P)H-dependent flavin oxidoreductase [Alkalimarinus sediminis]"	"Alkalimarinus sediminis"	"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alkalimarinus"
11058899	WP_223020678.1	"Bug family tripartite tricarboxylate transporter substrate binding protein [Nitratireductor kimnyeongensis]"	"Nitratireductor kimnyeongensis"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Phyllobacteriaceae","Nitratireductor"
13647572	WP_032526609.1	"magnesium chelatase subunit H [Prochlorococcus marinus]"	"Prochlorococcus marinus"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Prochlorococcaceae","Prochlorococcus"
7814868	WP_032513605.1	"MULTISPECIES: magnesium transporter [Prochlorococcus]"	"Prochlorococcus"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Prochlorococcaceae"
4177622	WP_229956549.1	"TonB-dependent receptor [Parasphingorhabdus litoris]"	"Parasphingorhabdus litoris"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Parasphingorhabdus"
4177622	WP_229956549.1	"TonB-dependent receptor [Parasphingorhabdus litoris]"	"Parasphingorhabdus litoris"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Parasphingorhabdus"
10665696	WP_415304406.1	"oxidoreductase [Candidatus Pelagibacter sp. Uisw_090]"	"Candidatus Pelagibacter sp. Uisw_090"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Candidatus Pelagibacterales","Candidatus Pelagibacteraceae","Candidatus Pelagibacter"
3817188	WP_032518522.1	"MULTISPECIES: YbaB/EbfC family nucleoid-associated protein [Prochlorococcus]"	"Prochlorococcus"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Prochlorococcaceae"
9518822	WP_413442509.1	"hypothetical protein [Synechococcus sp. MIT S1220]"	"Synechococcus sp. MIT S1220"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Synechococcaceae","Synechococcus"
376559	WP_302044009.1	"type 1 glutamine amidotransferase domain-containing protein [Lutimonas zeaxanthinifaciens]"	"Lutimonas zeaxanthinifaciens"	"Bacteria","Pseudomonadati","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Lutimonas"
4603638	WP_415308403.1	"methionine adenosyltransferase [Candidatus Pelagibacter sp. Uisw_099_02]"	"Candidatus Pelagibacter sp. Uisw_099_02"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Candidatus Pelagibacterales","Candidatus Pelagibacteraceae","Candidatus Pelagibacter"
4243195	WP_415271371.1	"extracellular solute-binding protein [Candidatus Pelagibacter sp. Uisw_121]"	"Candidatus Pelagibacter sp. Uisw_121"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Candidatus Pelagibacterales","Candidatus Pelagibacteraceae","Candidatus Pelagibacter"
2211595	WP_013046525.1	"porin [Candidatus Puniceispirillum marinum]"	"Candidatus Puniceispirillum marinum"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Candidatus Puniceispirillales","Candidatus Puniceispirillaceae","Candidatus Puniceispirillum"
13680399	WP_011863176.1	"MULTISPECIES: carbohydrate porin [Prochlorococcus]"	"Prochlorococcus"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Prochlorococcaceae"
14237458	WP_250281187.1	"MULTISPECIES: porin [Thalassospira]"	"Thalassospira"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Thalassospiraceae"
8535828	WP_169491927.1	"TonB-dependent receptor [Novosphingobium olei]"	"Novosphingobium olei"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
245526	WP_422023601.1	"efflux RND transporter permease subunit [Pyruvatibacter mobilis]"	"Pyruvatibacter mobilis"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Parvibaculaceae","Pyruvatibacter"
13975319	WP_186586792.1	"elongation factor Tu [Synechococcus sp. A15-28]"	"Synechococcus sp. A15-28"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Synechococcaceae","Synechococcus"
1359641	WP_066428072.1	"co-chaperone GroES [Capnocytophaga haemolytica]"	"Capnocytophaga haemolytica"	"Bacteria","Pseudomonadati","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga"
15580955	WP_014978657.1	"TonB-dependent receptor plug domain-containing protein [Alteromonas macleodii]"	"Alteromonas macleodii"	"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas/Salinimonas group","Alteromonas"
10862370	WP_257768317.1	"TAXI family TRAP transporter solute-binding subunit [Nisaea acidiphila]"	"Nisaea acidiphila"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Thalassobaculaceae","Nisaea"
13877026	WP_006928858.1	"hypothetical protein [Caldithrix abyssi]"	"Caldithrix abyssi"	"Bacteria","Pseudomonadati","Calditrichota","Calditrichia","Calditrichales","Calditrichaceae","Caldithrix"
13877026	WP_006928858.1	"hypothetical protein [Caldithrix abyssi]"	"Caldithrix abyssi"	"Bacteria","Pseudomonadati","Calditrichota","Calditrichia","Calditrichales","Calditrichaceae","Caldithrix"
10403621	WP_310471559.1	"TonB-dependent receptor [Shewanella youngdeokensis]"	"Shewanella youngdeokensis"	"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella"
4538159	WP_425404775.1	"type I glutamate--ammonia ligase [Hwanghaeella sp.]"	"Hwanghaeella sp."	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Hwanghaeella"
16039730	WP_008193438.1	"ABC transporter substrate-binding protein [Roseibium alexandrii]"	"Roseibium alexandrii"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Stappiaceae","Roseibium"
15417150	WP_011133327.1	"MULTISPECIES: bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase [Prochlorococcus]"	"Prochlorococcus"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Prochlorococcaceae"
3063618	WP_309202224.1	"TonB-dependent receptor [Pleionea litopenaei]"	"Pleionea litopenaei"	"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Oceanospirillales","Pleioneaceae","Pleionea"
704323	WP_011342282.1	"histidine kinase [Syntrophotalea carbinolica]"	"Syntrophotalea carbinolica"	"Bacteria","Pseudomonadati","Thermodesulfobacteriota","Desulfuromonadia","Desulfuromonadales","Syntrophotaleaceae","Syntrophotalea"
900930	WP_013046767.1	"chaperonin GroEL [Candidatus Puniceispirillum marinum]"	"Candidatus Puniceispirillum marinum"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Candidatus Puniceispirillales","Candidatus Puniceispirillaceae","Candidatus Puniceispirillum"
7847753	WP_013696016.1	"Fe(3+) ABC transporter substrate-binding protein [Candidatus Pelagibacter sp. IMCC9063]"	"Candidatus Pelagibacter sp. IMCC9063"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Candidatus Pelagibacterales","Candidatus Pelagibacteraceae","Candidatus Pelagibacter"
1064785	WP_012112162.1	"MULTISPECIES: HU family DNA-binding protein [Parvibaculum]"	"Parvibaculum"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Parvibaculaceae"
10698586	WP_011132778.1	"MULTISPECIES: NAD(P)(+) transhydrogenase (Re/Si-specific) subunit beta [Prochlorococcus]"	"Prochlorococcus"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Prochlorococcaceae"
12894050	WP_032525905.1	"methyltransferase domain-containing protein [Prochlorococcus marinus]"	"Prochlorococcus marinus"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Prochlorococcaceae","Prochlorococcus"
6766440	WP_197537626.1	"MULTISPECIES: ABC transporter substrate-binding protein [Caldilinea]"	"Caldilinea"	"Bacteria","Bacillati","Chloroflexota","Caldilineae","Caldilineales","Caldilineaceae"
2932592	WP_186492673.1	"glucose-6-phosphate isomerase [Synechococcus sp. BIOS-U3-1]"	"Synechococcus sp. BIOS-U3-1"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Synechococcaceae","Synechococcus"
4636533	WP_013047170.1	"peptidoglycan-associated lipoprotein Pal [Candidatus Puniceispirillum marinum]"	"Candidatus Puniceispirillum marinum"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Candidatus Puniceispirillales","Candidatus Puniceispirillaceae","Candidatus Puniceispirillum"
10829684	WP_303896912.1	"MULTISPECIES: metal ABC transporter substrate-binding protein [Thermoflexus]"	"Thermoflexus"	"Bacteria","Bacillati","Chloroflexota","Thermoflexia","Thermoflexales","Thermoflexaceae"
4865912	WP_341365371.1	"porin [Thalassospira sp. SN3W]"	"Thalassospira sp. SN3W"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Thalassospiraceae","Thalassospira"
8601464	YP_009212304.1	"major head protein [Sinorhizobium phage phiN3]"	"Sinorhizobium phage phiN3"	"Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Emdodecavirus","Emdodecavirus N3"
343943	WP_280318456.1	"TonB-dependent receptor domain-containing protein [Microbulbifer bruguierae]"	"Microbulbifer bruguierae"	"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Cellvibrionales","Microbulbiferaceae","Microbulbifer"
835464	WP_252158710.1	"elongation factor Tu [Candidatus Arcticimaribacter forsetii]"	"Candidatus Arcticimaribacter forsetii"	"Bacteria","Pseudomonadati","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Candidatus Arcticimaribacter"
3587977	WP_068205590.1	"peroxiredoxin [Lutibacter profundi]"	"Lutibacter profundi"	"Bacteria","Pseudomonadati","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Lutibacter"
15548313	WP_420454658.1	"TonB-dependent receptor [Rubrivirga sp.]"	"Rubrivirga sp."	"Bacteria","Pseudomonadati","Rhodothermota","Rhodothermia","Rhodothermales","Rubricoccaceae","Rubrivirga"
15548318	WP_011132388.1	"MULTISPECIES: translation elongation factor Ts [Prochlorococcus]"	"Prochlorococcus"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Prochlorococcaceae"
7913376	YP_009800319.1	"major head protein [Aeromonas phage AhSzw-1]"	"Aeromonas phage AhSzw-1"	"Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Demerecviridae","Shenzhenvirus","Shenzhenvirus AhSzw1"
8961964	XP_726213.1	"tubulin subunit beta [Plasmodium yoelii]"	"Plasmodium yoelii"	"Eukaryota","Sar","Alveolata","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae","Plasmodium","Plasmodium (Vinckeia)"
12173228	WP_032524681.1	"hydroxymethylbilane synthase [Prochlorococcus marinus]"	"Prochlorococcus marinus"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Prochlorococcaceae","Prochlorococcus"
10370992	WP_070960602.1	"TonB-dependent receptor domain-containing protein [Hyphomonas sp. Mor2]"	"Hyphomonas sp. Mor2"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Hyphomonadales","Hyphomonadaceae","Hyphomonas"
8142773	WP_011360623.1	"MULTISPECIES: photosystem II chlorophyll-binding protein CP47 [Synechococcales]"	"Synechococcales"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae"
9420727	WP_422362581.1	"chaperonin GroEL [Pyruvatibacter mobilis]"	"Pyruvatibacter mobilis"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Parvibaculaceae","Pyruvatibacter"
311225	WP_169455549.1	"Amuc_1098 family type IV pilus outer membrane protein [Luteolibacter luteus]"	"Luteolibacter luteus"	"Bacteria","Pseudomonadati","Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales","Verrucomicrobiaceae","Luteolibacter"
1916862	WP_170016713.1	"ABC transporter substrate-binding protein [Starkeya sp. ORNL1]"	"Starkeya sp. ORNL1"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae","Starkeya"
10895294	WP_136438589.1	"50S ribosomal protein L6 [Tenacibaculum maritimum]"	"Tenacibaculum maritimum"	"Bacteria","Pseudomonadati","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Tenacibaculum"
14827473	WP_286261056.1	"TonB-dependent receptor [Thalassotalea atypica]"	"Thalassotalea atypica"	"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Alteromonadales","Colwelliaceae","Thalassotalea"
